"","country","year","country_id","e_regiongeo","v2x_polyarchy","v2x_libdem","v2x_delibdem","v2x_egaldem","v2x_liberal","v2xcl_rol","v2x_cspart","v2x_jucon","gov_seatshare","rooduijn_government","rooduijn_government_senior","gov_popul_mean","gov_popul_weighted","gov_poppa_mean","gov_poppa_weighted","no_govparties","rooduijn","gov_popul_prime","president","ruth_populism","singleparty_gov","syst","evnt","evnttype","execindp","invexe","date","year_start","year_end","year_interval"
"1","Albania",1990,12,3,0.187,0.075,0.094,0.226,0.198,0.045,0.156,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,2,"98",1990-01-01,1990-01-01,1990-12-31,1990-01-01 UTC--1990-12-31 UTC
"2","Albania",1991,12,3,0.369,0.264,0.267,0.289,0.602,0.618,0.335,0.576,67.6,NA,NA,0.179,0.179,NA,NA,1,NA,0.179,NA,NA,1,1,1,2,2,"98",1991-01-01,1991-01-01,1991-12-31,1991-01-01 UTC--1991-12-31 UTC
"3","Albania",1992,12,3,0.418,0.334,0.325,0.311,0.722,0.671,0.358,0.627,65.7,NA,NA,0.385,0.385,NA,NA,1,NA,0.385,NA,NA,1,0,1,1,2,"98",1992-01-01,1992-01-01,1992-12-31,1992-01-01 UTC--1992-12-31 UTC
"4","Albania",1993,12,3,0.416,0.319,0.328,0.312,0.68,0.705,0.395,0.627,65.7,NA,NA,0.385,0.385,NA,NA,1,NA,0.385,NA,NA,1,0,1,1,2,"98",1993-01-01,1993-01-01,1993-12-31,1993-01-01 UTC--1993-12-31 UTC
"5","Albania",1994,12,3,0.412,0.336,0.305,0.31,0.733,0.705,0.395,0.627,65.7,NA,NA,0.385,0.385,NA,NA,1,NA,0.385,NA,NA,1,0,0,4,2,"98",1994-01-01,1994-01-01,1994-12-31,1994-01-01 UTC--1994-12-31 UTC
"6","Albania",1995,12,3,0.426,0.345,0.304,0.317,0.737,0.717,0.395,0.627,65.7,NA,NA,0.385,0.385,NA,NA,1,NA,0.385,NA,NA,1,0,0,4,2,"98",1995-01-01,1995-01-01,1995-12-31,1995-01-01 UTC--1995-12-31 UTC
"7","Albania",1996,12,3,0.381,0.319,0.269,0.284,0.737,0.717,0.395,0.627,90.6,NA,NA,0.124333333333333,0.161991169977925,NA,NA,3,NA,0.164,NA,NA,0,0,0,4,2,"98",1996-01-01,1996-01-01,1996-12-31,1996-01-01 UTC--1996-12-31 UTC
"8","Albania",1997,12,3,0.369,0.311,0.269,0.281,0.733,0.699,0.395,0.627,90.6,NA,NA,0.185,0.161991169977925,NA,NA,2,NA,0.23,NA,NA,0,0,0,4,2,"98",1997-01-01,1997-01-01,1997-12-31,1997-01-01 UTC--1997-12-31 UTC
"9","Albania",1998,12,3,0.386,0.323,0.307,0.284,0.741,0.719,0.542,0.631,90.6,NA,NA,0.185,0.161991169977925,NA,NA,2,NA,0.23,NA,NA,0,1,1,3,2,"1",1998-01-01,1998-01-01,1998-12-31,1998-01-01 UTC--1998-12-31 UTC
"10","Albania",1999,12,3,0.389,0.327,0.31,0.287,0.747,0.736,0.607,0.631,90.6,NA,NA,0.185,0.161991169977925,NA,NA,2,NA,0.23,NA,NA,0,0,0,4,2,"1",1999-01-01,1999-01-01,1999-12-31,1999-01-01 UTC--1999-12-31 UTC
