country,year,final_v2x_libdem,gov_poppa_weighted,date
Albania,1990,0.075,NA,1989-12-31
Albania,1990,0.075,NA,1990-01-01
Albania,1991,0.264,NA,1990-12-31
Albania,1991,0.264,NA,1991-01-01
Albania,1992,0.334,NA,1991-12-31
Albania,1992,0.334,NA,1992-01-01
Albania,1993,0.319,NA,1992-12-31
Albania,1993,0.319,NA,1993-01-01
Albania,1994,0.336,NA,1993-12-31
Albania,1994,0.336,NA,1994-01-01
Albania,1995,0.345,NA,1994-12-31
Albania,1995,0.345,NA,1995-01-01
Albania,1996,0.319,NA,1995-12-31
Albania,1996,0.319,NA,1996-01-01
Albania,1997,0.311,NA,1996-12-31
Albania,1997,0.311,NA,1997-01-01
Albania,1998,0.323,NA,1997-12-31
Albania,1998,0.323,NA,1998-01-01
Albania,1999,0.327,NA,1998-12-31
Albania,1999,0.327,NA,1999-01-01
Albania,2000,0.341,NA,1999-12-31
Albania,2000,0.341,NA,2000-01-01
Albania,2001,0.365,NA,2000-12-31
Albania,2001,0.365,NA,2001-01-01
Albania,2002,0.39,NA,2001-12-31
Albania,2002,0.39,NA,2002-01-01
Albania,2003,0.393,NA,2002-12-31
Albania,2003,0.393,NA,2003-01-01
Albania,2004,0.394,NA,2003-12-31
Albania,2004,0.394,NA,2004-01-01
Albania,2005,0.415,NA,2004-12-31
Albania,2005,0.415,NA,2005-01-01
Albania,2006,0.436,NA,2005-12-31
Albania,2006,0.436,NA,2006-01-01
Albania,2007,0.44,NA,2006-12-31
Albania,2007,0.44,NA,2007-01-01
Albania,2008,0.439,NA,2007-12-31
Albania,2008,0.439,NA,2008-01-01
Albania,2009,0.439,NA,2008-12-31
Albania,2009,0.439,NA,2009-01-01
Albania,2010,0.438,NA,2009-12-31
Albania,2010,0.438,NA,2010-01-01
Albania,2011,0.44,NA,2010-12-31
Albania,2011,0.44,NA,2011-01-01
Albania,2012,0.435,NA,2011-12-31
Albania,2012,0.435,NA,2012-01-01
Albania,2013,0.425,NA,2012-12-31
Albania,2013,0.425,NA,2013-01-01
Albania,2014,0.431,NA,2013-12-31
Albania,2014,0.431,NA,2014-01-01
Albania,2015,0.431,NA,2014-12-31
Albania,2015,0.431,NA,2015-01-01
Albania,2016,0.43,NA,2015-12-31
Albania,2016,0.43,NA,2016-01-01
Albania,2017,0.428,NA,2016-12-31
Albania,2017,0.428,NA,2017-01-01
Albania,2018,0.414,NA,2017-12-31
Albania,2018,0.414,NA,2018-01-01
Albania,2019,0.41,NA,2018-12-31
Albania,2019,0.41,NA,2019-01-01
Albania,2020,0.417,NA,2019-12-31
Albania,2020,0.417,NA,2020-01-01
Albania,2021,0.41,NA,2020-12-31
Albania,2021,0.41,NA,2021-01-01
Albania,2022,0.409,NA,2021-12-31
Albania,2022,0.409,NA,2022-01-01
Argentina,1990,0.613,NA,1989-12-31
Argentina,1990,0.613,NA,1990-01-01
Argentina,1991,0.624,NA,1990-12-31
Argentina,1991,0.624,NA,1991-01-01
Argentina,1992,0.628,NA,1991-12-31
Argentina,1992,0.628,NA,1992-01-01
Argentina,1993,0.628,NA,1992-12-31
Argentina,1993,0.628,NA,1993-01-01
Argentina,1994,0.63,NA,1993-12-31
Argentina,1994,0.63,NA,1994-01-01
Argentina,1995,0.633,NA,1994-12-31
Argentina,1995,0.633,NA,1995-01-01
Argentina,1996,0.624,NA,1995-12-31
Argentina,1996,0.624,NA,1996-01-01
Argentina,1997,0.625,NA,1996-12-31
Argentina,1997,0.625,NA,1997-01-01
Argentina,1998,0.628,NA,1997-12-31
Argentina,1998,0.628,NA,1998-01-01
Argentina,1999,0.632,NA,1998-12-31
Argentina,1999,0.632,NA,1999-01-01
Argentina,2000,0.662,NA,1999-12-31
Argentina,2000,0.662,NA,2000-01-01
Argentina,2001,0.671,NA,2000-12-31
Argentina,2001,0.671,NA,2001-01-01
Argentina,2002,0.659,NA,2001-12-31
Argentina,2002,0.659,NA,2002-01-01
Argentina,2003,0.647,NA,2002-12-31
Argentina,2003,0.647,NA,2003-01-01
Argentina,2004,0.648,NA,2003-12-31
Argentina,2004,0.648,NA,2004-01-01
Argentina,2005,0.641,NA,2004-12-31
Argentina,2005,0.641,NA,2005-01-01
Argentina,2006,0.632,NA,2005-12-31
Argentina,2006,0.632,NA,2006-01-01
Argentina,2007,0.63,NA,2006-12-31
Argentina,2007,0.63,NA,2007-01-01
Argentina,2008,0.619,NA,2007-12-31
Argentina,2008,0.619,NA,2008-01-01
Argentina,2009,0.608,NA,2008-12-31
Argentina,2009,0.608,NA,2009-01-01
Argentina,2010,0.61,NA,2009-12-31
Argentina,2010,0.61,NA,2010-01-01
Argentina,2011,0.601,NA,2010-12-31
Argentina,2011,0.601,NA,2011-01-01
Argentina,2012,0.604,NA,2011-12-31
Argentina,2012,0.604,NA,2012-01-01
Argentina,2013,0.609,NA,2012-12-31
Argentina,2013,0.609,NA,2013-01-01
Argentina,2014,0.617,NA,2013-12-31
Argentina,2014,0.617,NA,2014-01-01
Argentina,2015,0.607,NA,2014-12-31
Argentina,2015,0.607,NA,2015-01-01
Argentina,2016,0.622,NA,2015-12-31
Argentina,2016,0.622,NA,2016-01-01
Argentina,2017,0.607,NA,2016-12-31
Argentina,2017,0.607,NA,2017-01-01
Argentina,2018,0.619,NA,2017-12-31
Argentina,2018,0.619,NA,2018-01-01
Argentina,2019,0.607,NA,2018-12-31
Argentina,2019,0.607,NA,2019-01-01
Argentina,2020,0.667,NA,2019-12-31
Argentina,2020,0.667,NA,2020-01-01
Argentina,2021,0.657,NA,2020-12-31
Argentina,2021,0.657,NA,2021-01-01
Argentina,2022,0.642,NA,2021-12-31
Argentina,2022,0.642,NA,2022-01-01
Austria,1990,0.78,2.873746202506271,1989-12-31
Austria,1990,0.78,2.873746202506271,1990-01-01
Austria,1991,0.781,NA,1990-12-31
Austria,1991,0.781,NA,1991-01-01
Austria,1992,0.78,NA,1991-12-31
Austria,1992,0.78,NA,1992-01-01
Austria,1993,0.78,NA,1992-12-31
Austria,1993,0.78,NA,1993-01-01
Austria,1994,0.778,2.899244626363118,1993-12-31
Austria,1994,0.778,2.899244626363118,1994-01-01
Austria,1995,0.774,2.86376690864563,1994-12-31
Austria,1995,0.774,2.86376690864563,1995-01-01
Austria,1996,0.78,NA,1995-12-31
Austria,1996,0.78,NA,1996-01-01
Austria,1997,0.78,NA,1996-12-31
Austria,1997,0.78,NA,1997-01-01
Austria,1998,0.778,NA,1997-12-31
Austria,1998,0.778,NA,1998-01-01
Austria,1999,0.778,6.350401878356934,1998-12-31
Austria,1999,0.778,6.350401878356934,1999-01-01
Austria,2000,0.785,NA,1999-12-31
Austria,2000,0.785,NA,2000-01-01
Austria,2001,0.785,NA,2000-12-31
Austria,2001,0.785,NA,2001-01-01
Austria,2002,0.785,4.744625620572073,2001-12-31
Austria,2002,0.785,4.744625620572073,2002-01-01
Austria,2003,0.782,NA,2002-12-31
Austria,2003,0.782,NA,2003-01-01
Austria,2004,0.783,NA,2003-12-31
Austria,2004,0.783,NA,2004-01-01
Austria,2005,0.784,NA,2004-12-31
Austria,2005,0.784,NA,2005-01-01
Austria,2006,0.787,2.9773545662019942,2005-12-31
Austria,2006,0.787,2.9773545662019942,2006-01-01
Austria,2007,0.8,NA,2006-12-31
Austria,2007,0.8,NA,2007-01-01
Austria,2008,0.799,2.9454695232843946,2007-12-31
Austria,2008,0.799,2.9454695232843946,2008-01-01
Austria,2009,0.797,NA,2008-12-31
Austria,2009,0.797,NA,2009-01-01
Austria,2010,0.795,NA,2009-12-31
Austria,2010,0.795,NA,2010-01-01
Austria,2011,0.792,NA,2010-12-31
Austria,2011,0.792,NA,2011-01-01
Austria,2012,0.797,NA,2011-12-31
Austria,2012,0.797,NA,2012-01-01
Austria,2013,0.797,2.9489885478275317,2012-12-31
Austria,2013,0.797,2.9489885478275317,2013-01-01
Austria,2014,0.796,NA,2013-12-31
Austria,2014,0.796,NA,2014-01-01
Austria,2015,0.795,NA,2014-12-31
Austria,2015,0.795,NA,2015-01-01
Austria,2016,0.767,NA,2015-12-31
Austria,2016,0.767,NA,2016-01-01
Austria,2017,0.771,6.103014686732616,2016-12-31
Austria,2017,0.771,6.103014686732616,2017-01-01
Austria,2018,0.754,NA,2017-12-31
Austria,2018,0.754,NA,2018-01-01
Austria,2019,0.773,3.1794920754882523,2018-12-31
Austria,2019,0.773,3.1794920754882523,2019-01-01
Austria,2020,0.756,NA,2019-12-31
Austria,2020,0.756,NA,2020-01-01
Austria,2021,0.751,NA,2020-12-31
Austria,2021,0.751,NA,2021-01-01
Austria,2022,0.7,NA,2021-12-31
Austria,2022,0.7,NA,2022-01-01
Belarus,1990,0.354,NA,1989-12-31
Belarus,1990,0.354,NA,1990-01-01
Belarus,1991,0.383,NA,1990-12-31
Belarus,1991,0.383,NA,1991-01-01
Belarus,1992,0.455,NA,1991-12-31
Belarus,1992,0.455,NA,1992-01-01
Belarus,1993,0.451,NA,1992-12-31
Belarus,1993,0.451,NA,1993-01-01
Belarus,1994,0.417,NA,1993-12-31
Belarus,1994,0.417,NA,1994-01-01
Belarus,1995,0.364,NA,1994-12-31
Belarus,1995,0.364,NA,1995-01-01
Belarus,1996,0.22,NA,1995-12-31
Belarus,1996,0.22,NA,1996-01-01
Belarus,1997,0.143,NA,1996-12-31
Belarus,1997,0.143,NA,1997-01-01
Belarus,1998,0.135,NA,1997-12-31
Belarus,1998,0.135,NA,1998-01-01
Belarus,1999,0.118,NA,1998-12-31
Belarus,1999,0.118,NA,1999-01-01
Belarus,2000,0.111,NA,1999-12-31
Belarus,2000,0.111,NA,2000-01-01
Belarus,2001,0.105,NA,2000-12-31
